"chamber","party","rank_partisan_leg_D","rank_partisan_leg_R","legislator_name","district_number","leg_party_loyalty","leg_n_votes_denom_loyalty"
"House","R",NA,131,"Patrick Rooney",85,0.978131212723658,503
"House","R",NA,132,"Chad Johnson",22,0.977777777777778,180
"House","R",NA,133,"Rick Roth",94,0.977660972404731,761
"House","R",NA,134,"Lake Ray",12,0.97682119205298,604
"House","R",NA,135,"Ross Spano",59,0.976744186046512,430
"House","R",NA,136,"Alina Garcia",115,0.976744186046512,215
"House","R",NA,137,"Peter Nehr",48,0.976401179941003,339
"House","R",NA,138,"Carlos Lopez-Cantera",113,0.976190476190476,336
"House","R",NA,139,"Kevin Steele",55,0.976190476190476,336
"House","R",NA,140,"Matthew Caldwell",79,0.976011994002999,667
"House","R",NA,141,"Fabian Basabe",106,0.975609756097561,410
"House","R",NA,142,"Richard Glorioso",62,0.975609756097561,328
"House","R",NA,143,"Daniel Davis",15,0.975609756097561,246
"House","R",NA,144,"Dean Black",15,0.975460122699387,489
"House","R",NA,145,"Erika Booth",35,0.974358974358974,195
"House","R",NA,146,"Cary Pigman",55,0.974264705882353,544
"House","R",NA,147,"Chuck Clemons",22,0.974137931034483,696
"House","R",NA,148,"John Wood",41,0.973941368078176,614
"House","R",NA,149,"Marti Coley",5,0.973684210526316,456
"House","R",NA,150,"Jeanette Nunez",119,0.973490427098675,679
"House","R",NA,151,"Robert Cortes",30,0.973333333333333,300
"House","R",NA,152,"Jackie Toledo",60,0.973180076628352,522
"House","R",NA,153,"Brian Hodgers",32,0.972972972972973,111
"House","R",NA,154,"Erik Fresen",114,0.972742759795571,587
"House","R",NA,155,"Chip LaMarca",100,0.97225891677675,757
"House","R",NA,156,"Melony Bell",49,0.972222222222222,540
"House","R",NA,157,"Vance Aloupis",115,0.972222222222222,360
"House","R",NA,158,"Anthony Rodriguez",118,0.972067039106145,358
"House","R",NA,159,"Esteban Bovo",110,0.971698113207547,106
"House","R",NA,160,"Eric Eisnaugle",44,0.971666666666667,600
"House","R",NA,161,"Brad Drake",5,0.971230158730159,1008
"House","R",NA,162,"Ronald Renuart",17,0.970464135021097,474
"House","R",NA,163,"Anthony Sabatini",32,0.970198675496689,302
"House","R",NA,164,"Carlos Trujillo",105,0.969230769230769,650
"House","R",NA,165,"Jessica Baker",17,0.969194312796208,422
"House","R",NA,166,"Kurt Kelly",24,0.969072164948454,97
"House","R",NA,167,"Jose Diaz",116,0.969034608378871,549
"House","R",NA,168,"James Frishe",54,0.968847352024922,321
"House","R",NA,169,"Tom Grady",76,0.96875,96
"House","R",NA,170,"Neil Combee",39,0.968115942028986,345
"House","R",NA,171,"Kiyan Michael",16,0.968023255813954,344
"House","R",NA,172,"Susan Plasencia",37,0.967741935483871,341
"House","R",NA,173,"Cyndi Stevenson",18,0.967661691542289,804
"House","R",NA,174,"Kimberly Berfield",58,0.967088607594937,395
"House","R",NA,175,"Peggy Gossett-Seidman",91,0.966836734693878,392
"House","R",NA,176,"Walter Hill",1,0.966767371601209,331
"House","R",NA,177,"Trudi Williams",75,0.965156794425087,287
"House","R",NA,178,"David Rivera",112,0.964285714285714,84
"House","R",NA,179,"Omar Blanco",115,0.963917525773196,194
