stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url,filename
CO,2022,35,upper,CO 2022 State Senate,CO 2022 State Senate,9b5ec272-1fba-4a7a-ac6c-f2dcb4c6d0ae,NA,NA,https://davesredistricting.org/maps#viewmap::9b5ec272-1fba-4a7a-ac6c-f2dcb4c6d0ae,CO_2022_upper.csv
CT,2022,151,lower,CT 2022 State House,CT 2022 State House,2e38109d-9987-46e3-9ff0-dd6c3caa59e8,NA,NA,https://davesredistricting.org/maps#viewmap::2e38109d-9987-46e3-9ff0-dd6c3caa59e8,CT_2022_lower.csv
CT,2022,36,upper,CT 2022 State Senate,CT 2022 State Senate,fc9e83c0-59e2-4dea-b0cf-d2fff1c0b8a3,NA,NA,https://davesredistricting.org/maps#viewmap::fc9e83c0-59e2-4dea-b0cf-d2fff1c0b8a3,CT_2022_upper.csv
DC,2022,8,upper,Wards for 2022 Council,DC 2022 Council,0085842e-3e38-4a72-9df2-7374a1f5250e,NA,NA,https://davesredistricting.org/maps#viewmap::0085842e-3e38-4a72-9df2-7374a1f5250e,DC_2022_upper.csv
DE,2022,41,lower,DE 2022 State House,DE 2022 State House,f3acc27c-28b6-4e3a-a3f3-f5027ab59466,NA,NA,https://davesredistricting.org/maps#viewmap::f3acc27c-28b6-4e3a-a3f3-f5027ab59466,DE_2022_lower.csv
DE,2022,21,upper,DE 2022 State Senate,DE 2022 State Senate,735ff37c-3bd7-4a57-8961-b3ebf6c079f0,NA,NA,https://davesredistricting.org/maps#viewmap::735ff37c-3bd7-4a57-8961-b3ebf6c079f0,DE_2022_upper.csv
FL,2022,120,lower,FL 2022 State House,FL 2022 State House,488c9284-a2c4-4846-9d7d-08af9d98a6c5,NA,NA,https://davesredistricting.org/maps#viewmap::488c9284-a2c4-4846-9d7d-08af9d98a6c5,FL_2022_lower.csv
FL,2022,40,upper,FL 2022 State Senate,FL 2022 State Senate,91f2ce50-b3c1-4d74-87f2-d3a9fa078129,NA,NA,https://davesredistricting.org/maps#viewmap::91f2ce50-b3c1-4d74-87f2-d3a9fa078129,FL_2022_upper.csv
GA,2024,180,lower,GA 2024 State House,GA 2024 State House,b14b9be1-e73b-4f26-b34e-26a788ad9931,NA,NA,https://davesredistricting.org/maps#viewmap::b14b9be1-e73b-4f26-b34e-26a788ad9931,GA_2024_lower.csv
GA,2024,56,upper,GA 2024 State Senate,GA 2024 State Senate,2bab4178-725d-4c55-961a-de0a6f5ffcce,NA,NA,https://davesredistricting.org/maps#viewmap::2bab4178-725d-4c55-961a-de0a6f5ffcce,GA_2024_upper.csv
HI,2022,51,lower,HI 2022 State House,HI 2022 State House,6e4f9c2e-6a11-4848-adab-22f3113bef79,NA,NA,https://davesredistricting.org/maps#viewmap::6e4f9c2e-6a11-4848-adab-22f3113bef79,HI_2022_lower.csv
HI,2022,25,upper,HI 2022 State Senate,HI 2022 State Senate,c4d580e8-5bfd-4656-820d-b58c7ccfe92c,NA,NA,https://davesredistricting.org/maps#viewmap::c4d580e8-5bfd-4656-820d-b58c7ccfe92c,HI_2022_upper.csv
IA,2022,100,lower,IA 2022 State House,IA 2022 State House,3bba1647-f4a4-4374-8021-a8e4aeb6f15a,NA,NA,https://davesredistricting.org/maps#viewmap::3bba1647-f4a4-4374-8021-a8e4aeb6f15a,IA_2022_lower.csv
IA,2022,50,upper,IA 2022 State Senate,IA 2022 State Senate,0e81cf3d-648d-4851-b14b-0ee893f92610,NA,NA,https://davesredistricting.org/maps#viewmap::0e81cf3d-648d-4851-b14b-0ee893f92610,IA_2022_upper.csv
ID,2022,35,upper,ID 2022 State Legislature,ID 2022 State Legislature,a56da372-79a4-48e7-9fd5-b689d0ccb602,NA,NA,https://davesredistricting.org/maps#viewmap::a56da372-79a4-48e7-9fd5-b689d0ccb602,ID_2022_upper.csv
IL,2022,118,lower,IL 2022 State House,IL 2022 State House,19bc2a13-2ad1-455a-a7cb-4182ff7c6f6f,NA,NA,https://davesredistricting.org/maps#viewmap::19bc2a13-2ad1-455a-a7cb-4182ff7c6f6f,IL_2022_lower.csv
IL,2022,59,upper,IL 2022 State Senate,IL 2022 State Senate,8cd5c7ba-6e69-42a7-89e1-3806a2a05e64,NA,NA,https://davesredistricting.org/maps#viewmap::8cd5c7ba-6e69-42a7-89e1-3806a2a05e64,IL_2022_upper.csv
IN,2022,100,lower,IN 2022 State House,IN 2022 State House,db849782-86e9-4293-a492-3e17d7cfceab,NA,NA,https://davesredistricting.org/maps#viewmap::db849782-86e9-4293-a492-3e17d7cfceab,IN_2022_lower.csv
